cryptoName,cryptoRoute,cryptoTicker
Aurora,aurora,AURORA
dForce,df,DF
GameFi.org,gafi,GAFI
GameZone,gzone,GZONE
Euro Coin,euroc,EUROC
Origin Dollar,ousd,OUSD
Travala.com,ava,AVA
BENQI,qi,QI
Komodo,kmd,KMD
TROY,troy,TROY
AhaToken,aht,AHT
Ethernity,ern,ERN
StaFi,fis,FIS
NULS,nuls,NULS
ASD,asd,ASD
Bella Protocol,bel,BEL
Orion Protocol,orn,ORN
Freeway Token,fwt,FWT
Cult DAO,cult,CULT
REI Network,rei,REI
Chrono.tech,time,TIME
Tranchess,chess,CHESS
TokenPocket,tpt,TPT
LeverFi,lever,LEVER
Router Protocol,route,ROUTE
USDK,usdk,USDK
Qredo,qrdo,QRDO
Circuits of Value,coval,COVAL
e-Radix,exrd,EXRD
Adventure Gold,agld,AGLD
Streamr,data,DATA
GMT Token,gmt,GMT
ONBUFF,onit,ONIT
Presearch,pre,PRE
CONUN,con,CON
Reserve,rsv,RSV
PIVX,pivx,PIVX
Æternity,ae,AE
Dego Finance,dego,DEGO
Efforce,wozx,WOZX
Ternoa,caps,CAPS
CLV,clv,CLV
Contentos,cos,COS
Bluzelle,blz,BLZ
KardiaChain,kai,KAI
Minswap,min,MIN
Splintershards,sps,SPS
Ferro,fer,FER
Guild of Guardians,gog,GOG
Tokenlon Network Token,lon,LON
Onomy Protocol,nom,NOM
H2O DAO,h2o,H2O
VIDT DAO,vidt,VIDT
Ellipsis,eps,EPS
Chimpion,bnana,BNANA
Everdome,dome,DOME
DEXTools,dext,DEXT
AIOZ Network,aioz,AIOZ
MAP Protocol,map,MAP
Voxies,voxel,VOXEL
DEAPcoin,dep,DEP
Boson Protocol,boson,BOSON
Nexa,nexa,NEXA
Manchester City Fan Token,city,CITY
Paris Saint-Germain Fan Token,psg,PSG
Firo,firo,FIRO
Ambire AdEx,adx,ADX
Alpine F1 Team Fan Token,alpine,ALPINE
Unifi Protocol DAO,unfi,UNFI
Gamium,gmm,GMM
FIO Protocol,fio,FIO
Rarible,rari,RARI
RAI Finance,sofi,SOFI
ICHI,ichi,ICHI
Swarm,bzz,BZZ
Sovryn,sov,SOV
Decentral Games,dg,DG
Harvest Finance,farm,FARM
Tellor,trb,TRB
Alitas,alt,ALT
Starlink,starl,STARL
Elastos,ela,ELA
ApolloX,apx,APX
Metahero,hero,HERO
Kava Lend,hard,HARD
Epic Cash,epic,EPIC
Hermez Network,hez,HEZ
Phantasma,soul,SOUL
TerraKRW,krt,KRT
Shiden Network,sdn,SDN
S.S. Lazio Fan Token,lazio,LAZIO
OpenDAO,sos,SOS
Fusion,fsn,FSN
Maro,maro,MARO
RMRK,rmrk,RMRK
HELLO,hello,HELLO
Vectorspace AI,vxv,VXV
Venus XVS,vxvs,vXVS
Drep [new],drep,DREP
Cream Finance,cream,CREAM
Metacraft,mct,MCT
GuildFi,gf,GF
Pitbull,pit,PIT
Proton,xpr,XPR
Unibright,ubt,UBT
VITE,vite,VITE
DeRace,derc,DERC
BurgerCities,burger,BURGER
Hathor,htr,HTR
Hillstone Finance,hsf,HSF
VAIOT,vai,VAI
Hacken Token,hai,HAI
Neblio,nebl,NEBL
Frontier,front,FRONT
MANTRA,om,OM
Walken,wlkn,WLKN
Altura,alu,ALU
OAX,oax,OAX
PERL.eco,perl,PERL
GYEN,gyen,GYEN
Metronome,met,MET
HAVAH,hvh,HVH
Kleros,pnk,PNK
CoinEx Token,cet,CET
Maple,mpl,MPL
Wing Finance,wing,WING
Santos FC Fan Token,santos,SANTOS
Namecoin,nmc,NMC
Ellipsis,epx,EPX
AirDAO,amb,AMB
Handshake,hns,HNS
Mango,mngo,MNGO
Celo Euro,ceur,CEUR
MarsDAO,mdao,MDAO
PARSIQ,prq,PRQ
CENNZnet,cennz,CENNZ
Dogechain,dc,DC
Step App,fitfi,FITFI
KILT Protocol,kilt,KILT
Nakamoto Games,naka,NAKA
Akropolis,akro,AKRO
RFOX,rfox,RFOX
Rainicorn,raini,RAINI
district0x,dnt,DNT
Elitium,eum,EUM
Era Swap,es,ES
ForTube,for,FOR
LATOKEN,la,LA
Goldfinch,gfi,GFI
Viberate,vib,VIB
StreamCoin,strm,STRM
Bonfida,fida,FIDA
FC Porto Fan Token,porto,PORTO
DeepBrain Chain,dbc,DBC
AirSwap,ast,AST
Auto,auto,AUTO
Dock,dock,DOCK
DxChain Token,dx,DX
Nestree,egg,EGG
MEVerse,mev,MEV
BitMart Token,bmx,BMX
Ultiledger,ult,ULT
Ooki Protocol,ooki,OOKI
Findora,fra,FRA
SpookySwap,boo,BOO
Choise.com,cho,CHO
MUX Protocol,mcb,MCB
Pluton,plu,PLU
MILC Platform,mlt,MLT
Divi,divi,DIVI
Galatasaray Fan Token,gal,GAL
Petals,pts,PTS
Dacxi,dacxi,DACXI
GALAXIA,gxa,GXA
HUSD,husd,HUSD
Waltonchain,wtc,WTC
pNetwork,pnt,PNT
Kunci Coin,kunci,KUNCI
Fuse Network,fuse,FUSE
Tokemak,toke,TOKE
PolySwarm,nct,NCT
SOLVE,solve,SOLVE
Dora Factory,dora,DORA
GET Protocol,get,GET
Assemble Protocol,asm,ASM
TABOO TOKEN,taboo,TABOO
Aleph.im,aleph,ALEPH
DeFi Kingdoms,jewel,JEWEL
Haven Protocol,xhv,XHV
Student Coin,stc,STC
UniCrypt,uncx,UNCX
ETHAX,ethax,ETHAX
rhino.fi,dvf,DVF
AMO Coin,amo,AMO
Somnium Space Cubes,cube,CUBE
Saito,saito,SAITO
BSCPAD,bscpad,BSCPAD
Peercoin,ppc,PPC
RIZON,atolo,ATOLO
BIDR,bidr,BIDR
HyperDAO,hdao,HDAO
Hydra,hydra,HYDRA
Polkadex,pdex,PDEX
Prosper,pros,PROS
Green Satoshi Token (SOL),gst,GST
Energi,nrg,NRG
Deeper Network,dpr,DPR
VIMworld,veed,VEED
MATH,math,MATH
Throne,thn,THN
DAD,dad,DAD
BEPRO Network,bepro,BEPRO
Zenon,znn,ZNN
Arsenal Fan Token,afc,AFC
GoCrypto Token,goc,GOC
MixMarvel,mix,MIX
Suku,suku,SUKU
Cratos,crts,CRTS
Carbon Protocol,swth,SWTH
Adappter Token,adp,ADP
HOPR,hopr,HOPR
Numbers Protocol,num,NUM
Nimiq,nim,NIM
apM Coin,apm,APM
Karura,kar,KAR
Katana Inu,kata,KATA
PUBLISH,news,NEWS
PowerPool,cvp,CVP
Hegic,hegic,HEGIC
ZKSpace,zks,ZKS
Samoyedcoin,samo,SAMO
Unisocks,socks,SOCKS
UniLend,uft,UFT
The Transfer Token,ttt,TTT
Clearpool,cpool,CPOOL
Super Zero Protocol,sero,SERO
Dvision Network,dvi,DVI
ApeSwap,banana,BANANA
Arcblock,abt,ABT
AC Milan Fan Token,acm,ACM
Shapeshift FOX Token,fox,FOX
GNY,gny,GNY
Diamond Launch,dlc,DLC
OpenOcean,ooe,OOE
Obyte,gbyte,GBYTE
Diamond,dmd,DMD
DAFI Protocol,dafi,DAFI
DeFine,dfa,DFA
Quantstamp,qsp,QSP
Orbcity,orb,ORB
Civilization,civ,CIV
Tamadoge,tama,TAMA
Crust Network,cru,CRU
Solend,slnd,SLND
Red Kite,pkf,PKF
Marinade Staked SOL,msol,MSOL
Push Protocol,push,PUSH
Nexus,nxs,NXS
ERC20,erc20,ERC20
Quantum Resistant Ledger,qrl,QRL
SIDUS,sidus,SIDUS
Stader,sd,SD
Kryll,krl,KRL
Scallop,sclp,SCLP
SIX,six,SIX
EverRise,rise,RISE
BitKan,kan,KAN
Juventus Fan Token,juv,JUV
NFTX,nftx,NFTX
Big Data Protocol,bdp,BDP
Gari Network,gari,GARI
Stratos,stos,STOS
Lossless,lss,LSS
Sperax,spa,SPA
Battle World,bwo,BWO
Unification,fund,FUND
Zano,zano,ZANO
SORA,xor,XOR
IMPT,impt,IMPT
Kambria,kat,KAT
Napoli Fan Token,nap,NAP
King DAG,kdag,KDAG
BASIC,basic,BASIC
Victoria VR,vr,VR
Hoge Finance,hoge,HOGE
Valobit,vbit,VBIT
BTSE,btse,BTSE
Vita Inu,vinu,VINU
XDEFI Wallet,xdefi,XDEFI
Blocto Token,blt,BLT
Aurory,aury,AURY
MimbleWimbleCoin,mwc,MWC
Inter Milan Fan Token,inter,INTER
Invictus Hyperion Fund,ihf,IHF
Govi,govi,GOVI
Apollo Currency,apl,APL
BabySwap,baby,BABY
Venus Reward Token,vrt,VRT
DerivaDAO,ddx,DDX
Aurox,urus,URUS
Zus,zcn,ZCN
Oraichain,orai,ORAI
SAFE DEAL,sfd,SFD
HAPI Protocol,hapi,HAPI
CUDOS,cudos,CUDOS
OG Fan Token,og,OG
Cere Network,cere,CERE
Across Protocol,acx,ACX
Kin,kin,KIN
Retreeb,treeb,TREEB
GoChain,go,GO
NFT Worlds,wrld,WRLD
Quiztok,qtcon,QTCON
MileVerse,mvc,MVC
Pintu Token,ptu,PTU
Crypterium,crpt,CRPT
Matrix AI Network,man,MAN
Swash,swash,SWASH
BOSagora,boa,BOA
SENSO,senso,SENSO
TopGoal,goal,GOAL
PRIZM,pzm,PZM
ELYSIA,el,EL
Thetan Arena,thg,THG
Atletico De Madrid Fan Token,atm,ATM
Vertcoin,vtc,VTC
DSLA Protocol,dsla,DSLA
Town Star,town,TOWN
SHPING,shping,SHPING
Hamster,ham,HAM
WaykiChain,wicc,WICC
MagicCraft,mcrt,MCRT
RChain,rev,REV
Morpheus Labs,mitx,MITX
Mancium,manc,MANC
XeniosCoin,xnc,XNC
Pallapay,palla,PALLA
Exeedme,xed,XED
Dimecoin,dime,DIME
Navcoin,nav,NAV
Neutrino Token,nsbt,NSBT
Tap,xtp,XTP
Rook,rook,ROOK
NewYork Exchange,nye,NYE
Pip,pip,PIP
Affyn,fyn,FYN
Grid+,grid,GRID
TEMCO,temco,TEMCO
Validity,val,VAL
Bitcoin Standard Hashrate Token,btcst,BTCST
K21,k21,K21
Particl,part,PART
Bridge Oracle,brg,BRG
POA Network,poa,POA
MASQ,masq,MASQ
Observer,obsr,OBSR
Newscrypto,nwc,NWC
Banano,ban,BAN
Monero Classic,xmc,XMC
Comtech Gold,cgo,CGO
Rupiah Token,idrt,IDRT
Receive Access Ecosystem,rae,RAE
Tornado Cash,torn,TORN
LBRY Credits,lbc,LBC
BLOCKv,vee,VEE
Gridcoin,grc,GRC
Arianee,aria20,ARIA20
dHedge DAO,dht,DHT
Dfyn Network,dfyn,DFYN
Deri Protocol,deri,DERI
Shiryo,shiryo,SHIRYO
KOK,kok,KOK
TRVL,trvl,TRVL
RigoBlock,grg,GRG
Rai Reflex Index,rai,RAI
Venus LTC,vltc,vLTC
BioPassport Token,biot,BIOT
Darwinia Network,ring,RING
Counterparty,xcp,XCP
QASH,qash,QASH
Dovu,dov,DOV
Mirror Protocol,mir,MIR
TE-FOOD,tone,TONE
Bitball Treasure,btrs,BTRS
Pangolin,png,PNG
Anchor Protocol,anc,ANC
Calamari Network,kma,KMA
Unicly CryptoPunks Collection,upunk,UPUNK
Electra Protocol,xep,XEP
Oxen,oxen,OXEN
Grin,grin,GRIN
Callisto Network,clo,CLO
Wombat Exchange,wom,WOM
Memetic / PepeCoin,meme,MEME
Zynecoin,zyn,ZYN
Factom,fct,FCT
ASTA,asta,ASTA
Aventus,avt,AVT
ReapChain,reap,REAP
Bitcoin 2,btc2,BTC2
Cashaa,cas,CAS
Lattice Token,ltx,LTX
Cirus Foundation,cirus,CIRUS
PolkaBridge,pbr,PBR
Thena,the,THE
Cryptex Finance,ctx,CTX
BigONE Token,one,ONE
Buying.com,buy,BUY
Zyberswap,zyb,ZYB
CropBytes,cbx,CBX
WHALE,whale,WHALE
Cellframe,cell,CELL
EPIK Prime,epik,EPIK
RED TOKEN,red,RED
Emirex Token,emrx,EMRX
OVR,ovr,OVR
Gravity Finance,gfi,GFI
PKT,pkt,PKT
SuperWalk,grnd,GRND
Oxbull.tech,oxb,OXB
Everest,id,ID
v.systems,vsys,VSYS
Venus DAI,vdai,vDAI
QuadrantProtocol,equad,EQUAD
ReddCoin,rdd,RDD
Molecular Future,mof,MOF
AS Roma Fan Token,asr,ASR
ChainGuardians,cgg,CGG
SpaceChain,spc,SPC
Ariva,arv,ARV
Shyft Network,shft,SHFT
Project WITH,wiken,WIKEN
SHILL Token,shill,SHILL
Signum,signa,SIGNA
Gulf Coin,gulf,GULF
Inflation Hedging Coin,ihc,IHC
Meta Apes,peel,PEEL
Sentinel,dvpn,DVPN
BitForex Token,bf,BF
Bytecoin,bcn,BCN
Kromatika,krom,KROM
Botto,botto,BOTTO
Glitch,glch,GLCH
TitanSwap,titan,TITAN
ProximaX,xpx,XPX
Robonomics.network,xrt,XRT
MurAll,paint,PAINT
Ignis,ignis,IGNIS
Polaris Share,pola,POLA
Mysterium,myst,MYST
Terran Coin,trr,TRR
Origin Dollar Governance,ogv,OGV
Dotmoovs,moov,MOOV
STAKE,stake,STAKE
Atomic Wallet Coin,awc,AWC
ShareToken,shr,SHR
Fruits,frts,FRTS
Linker Coin,lnc,LNC
BullPerks,blp,BLP
1irstcoin,fst,FST
DOC.COM,mtc,MTC
Tarot,tarot,TAROT
ChainX,pcx,PCX
BendDAO,bend,BEND
GAMEE,gmee,GMEE
Forj(Bondly),bondly,BONDLY
Carbon Credit,cct,CCT
Plian,pi,PI
STFX,stfx,STFX
DigixDAO,dgd,DGD
GamerCoin,ghx,GHX
Lovely Inu Finance,lovely,LOVELY
Tokamak Network,ton,TON
Solanium,slim,SLIM
Uno Re,uno,UNO
Modefi,mod,MOD
Atari Token,atri,ATRI
BUX Token,bux,BUX
Crypton,crp,CRP
BOLT,bolt,BOLT
ChangeNOW Token,now,NOW
Raven Protocol,raven,RAVEN
Bitrue Coin,btr,BTR
Xaya,chi,CHI
DogeBonk,dobo,DOBO
LABEL Foundation,lbl,LBL
Mint Marble,mim,MIM
Bifrost,bnc,BNC
Electric Vehicle Zone,evz,EVZ
Hiblocks,hibs,HIBS
RocketX exchange,rvf,RVF
